Country;Sector;Product CN Code;Description;Default Value (direct emissions);Default Value (Indirect emissions);Default Value (total emissions);2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up);Underlying production route determining CBAM BM
South Korea;Iron and steel;73181100;Coach screws of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73181210;Wood screws of stainless steel (excl. coach screws);4.074;;4.074;4.4814;4.8888;5.2962;(C)
South Korea;Iron and steel;73181290;Wood screws of iron or steel other than stainless (excl. coach screws);2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73181300;Screw hooks and screw rings, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73181410;Self-tapping screws, of stainless steel (excl. wood screws);4.074;;4.074;4.4814;4.8888;5.2962;(C)
South Korea;Iron and steel;73181491;Spaced-thread screws of iron or steel other than stainless;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73181499;Self-tapping screws of iron or steel other than stainless (excl. spaced-thread screws and wood screws);2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;731815;Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. coach screws and other wood screws, screw hooks and screw rings, self-tapping screws, lag screws, stoppers, plugs and the like, threaded);3.474;;3.474;3.8214;4.1688;4.5162;(C)
South Korea;Iron and steel;731816;Nuts of iron or steel;4.104;;4.104;4.5144;4.9248;5.3352;(C)
South Korea;Iron and steel;73181900;Threaded articles, of iron or steel, n.e.s.;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73182100;Spring washers and other lock washers, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73182200;Washers of iron or steel (excl. spring washers and other lock washers);2.484;;2.484;2.7324;2.9808;3.2292;(C)
South Korea;Iron and steel;73182300;Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses);2.344;;2.344;2.5784;2.8128;3.0472;(C)
South Korea;Iron and steel;73182400;Cotters and cotter pins, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73182900;Non-threaded articles, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;7326;Articles of iron or steel, n.e.s. (excl. cast articles);;;;;;;
South Korea;Iron and steel;73261100;Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not further worked;2.274;;2.274;2.5014;2.7288;2.9562;(C)
South Korea;Iron and steel;732619;Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excl. grinding balls and similar articles for mills);2.274;;2.274;2.5014;2.7288;2.9562;(C)
South Korea;Iron and steel;73262000;Articles of iron or steel wire, n.e.s.;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73269030;Ladders and steps, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73269040;Pallets and similar platforms for handling goods, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73269050;Reels for cables, piping and the like, of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73269060;Ventilators, non-mechanical, guttering, hooks and like articles used in the building industry, n.e.s., of iron or steel;2.124;;2.124;2.3364;2.5488;2.7612;(C)
South Korea;Iron and steel;73269092;Articles of iron or steel, open-die forged, n.e.s.;2.274;;2.274;2.5014;2.7288;2.9562;(C)
South Korea;Iron and steel;73269094;Articles of iron or steel, closed-die forged, n.e.s.;2.274;;2.274;2.5014;2.7288;2.9562;(C)
South Korea;Iron and steel;73269096;Sintered articles of iron or steel, n.e.s.;2.274;;2.274;2.5014;2.7288;2.9562;(C)
South Korea;Iron and steel;73269098;Articles of iron or steel, n.e.s.;2.144;;2.144;2.3584;2.5728;2.7872;(C)
Sri Lanka;Cement;25070080;Calcined clay;;;;;;;
Sri Lanka;Cement;25231000;White clinker;;;;;;;
Sri Lanka;Cement;25231000;Grey clinker;0.87;0.04;0.9;0.99;1.08;1.17;(A)
Sri Lanka;Cement;25232100;White Portland cement;;;;;;;
Sri Lanka;Cement;25232900;Grey Portland cement;1.0;0.06;1.06;1.166;1.272;1.378;
Sri Lanka;Cement;25239000;White hydraulic cements;;;;;;;
Sri Lanka;Cement;25239000;Grey hydraulic cements;0.95;0.07;1.02;1.122;1.224;1.326;(A)
